group_idx	scene	run_type	primary_idx	primary_episode_id	neighbor_idx	neighbor_episode_id	matched_waypoints	mean_distance	run_episode_idx	port	start_time	end_time	exit_code	result_suffix	vlm_log	eval_log	measurement_file	success	spl	distance_to_goal	outbound_success	return_success	round_trip_success	distance_to_start	outbound_stop_distance_to_goal
0	zsNo4HB9uLZ	standalone_outbound	680	1167	612	1069	7	0.0	612	56000	2026-08-18T16:07:39+01:00	2026-08-18T16:10:32+01:00	0	bidirectional_trained_9scenes_20260818_standalone_g0_ep612	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/bidirectional_trained_9scenes_20260818/g0_standalone_ep612_vlm.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/bidirectional_trained_9scenes_20260818/g0_standalone_ep612_eval.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/eval_results/go2_matterport_vision_loco_2024-09-25_23-22-02_bidirectional_trained_9scenes_20260818_standalone_g0_ep612/measurements/1068.json	0.0	0.0	16.16744954628268					
0	zsNo4HB9uLZ	round_trip	680	1167	612	1069	7	0.0	680	56001	2026-08-18T16:10:32+01:00	2026-08-18T16:13:58+01:00	0	bidirectional_trained_9scenes_20260818_roundtrip_g0_ep680	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/bidirectional_trained_9scenes_20260818/g0_roundtrip_ep680_vlm.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/bidirectional_trained_9scenes_20260818/g0_roundtrip_ep680_eval.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_bidirectional_trained_9scenes_20260818_roundtrip_g0_ep680/measurements/1166.json				True	True	True	1.9241470098495483	0.5869145393371582
1	x8F5xyUWy9e	standalone_outbound	5	9	354	583	5	0.0	354	56002	2026-08-18T16:13:58+01:00	2026-08-18T16:14:15+01:00	98	bidirectional_trained_9scenes_20260818_standalone_g1_ep354	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/bidirectional_trained_9scenes_20260818/g1_standalone_ep354_vlm.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/bidirectional_trained_9scenes_20260818/g1_standalone_ep354_eval.log									
1	x8F5xyUWy9e	round_trip	5	9	354	583	5	0.0	5	56003	2026-08-18T16:14:15+01:00	2026-08-18T16:20:18+01:00	0	bidirectional_trained_9scenes_20260818_roundtrip_g1_ep5	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/bidirectional_trained_9scenes_20260818/g1_roundtrip_ep5_vlm.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/bidirectional_trained_9scenes_20260818/g1_roundtrip_ep5_eval.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_bidirectional_trained_9scenes_20260818_roundtrip_g1_ep5/measurements/8.json				True	False	False	8.883413314819336	0.24262098968029022
2	QUCTc6BB5sX	standalone_outbound	105	151	993	1699	7	0.0	993	56004	2026-08-18T16:20:18+01:00	2026-08-18T16:22:36+01:00	0	bidirectional_trained_9scenes_20260818_standalone_g2_ep993	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/bidirectional_trained_9scenes_20260818/g2_standalone_ep993_vlm.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/bidirectional_trained_9scenes_20260818/g2_standalone_ep993_eval.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/eval_results/go2_matterport_vision_loco_2024-09-25_23-22-02_bidirectional_trained_9scenes_20260818_standalone_g2_ep993/measurements/1698.json	1.0	1.0	0.5746807079110868					
2	QUCTc6BB5sX	round_trip	105	151	993	1699	7	0.0	105	56005	2026-08-18T16:22:36+01:00	2026-08-18T16:25:05+01:00	0	bidirectional_trained_9scenes_20260818_roundtrip_g2_ep105	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/bidirectional_trained_9scenes_20260818/g2_roundtrip_ep105_vlm.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/bidirectional_trained_9scenes_20260818/g2_roundtrip_ep105_eval.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_bidirectional_trained_9scenes_20260818_roundtrip_g2_ep105/measurements/150.json				False	False	False	8.310227394104004	None
3	2azQ1b91cZZ	standalone_outbound	183	277	738	1264	6	0.0	738	56006	2026-08-18T16:25:05+01:00	2026-08-18T16:27:35+01:00	0	bidirectional_trained_9scenes_20260818_standalone_g3_ep738	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/bidirectional_trained_9scenes_20260818/g3_standalone_ep738_vlm.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/bidirectional_trained_9scenes_20260818/g3_standalone_ep738_eval.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/eval_results/go2_matterport_vision_loco_2024-09-25_23-22-02_bidirectional_trained_9scenes_20260818_standalone_g3_ep738/measurements/1263.json	0.0	0.0	4.884050572123571					
3	2azQ1b91cZZ	round_trip	183	277	738	1264	6	0.0	183	56007	2026-08-18T16:27:35+01:00	2026-08-18T16:32:36+01:00	0	bidirectional_trained_9scenes_20260818_roundtrip_g3_ep183	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/bidirectional_trained_9scenes_20260818/g3_roundtrip_ep183_vlm.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/bidirectional_trained_9scenes_20260818/g3_roundtrip_ep183_eval.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_bidirectional_trained_9scenes_20260818_roundtrip_g3_ep183/measurements/276.json				False	False	False	3.557356357574463	17.34941291809082
4	EU6Fwq7SyZv	standalone_outbound	187	281	447	754	6	0.433051	447	56008	2026-08-18T16:32:36+01:00	2026-08-18T16:35:35+01:00	0	bidirectional_trained_9scenes_20260818_standalone_g4_ep447	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/bidirectional_trained_9scenes_20260818/g4_standalone_ep447_vlm.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/bidirectional_trained_9scenes_20260818/g4_standalone_ep447_eval.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/eval_results/go2_matterport_vision_loco_2024-09-25_23-22-02_bidirectional_trained_9scenes_20260818_standalone_g4_ep447/measurements/753.json	0.0	0.0	14.434806402944353					
4	EU6Fwq7SyZv	round_trip	187	281	447	754	6	0.433051	187	56009	2026-08-18T16:35:35+01:00	2026-08-18T16:39:30+01:00	0	bidirectional_trained_9scenes_20260818_roundtrip_g4_ep187	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/bidirectional_trained_9scenes_20260818/g4_roundtrip_ep187_vlm.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/bidirectional_trained_9scenes_20260818/g4_roundtrip_ep187_eval.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_bidirectional_trained_9scenes_20260818_roundtrip_g4_ep187/measurements/280.json				True	False	False	12.284645080566406	0.2054329216480255
